CANTIDAD,NOMBRE,COSTO_DOLAR,VENTA_PESOS
2,Auricular Logitech G535,85,220000
1,Auricular Jbl Tune 730bt,38,98000
14,Modulo Dualsense Edge Stick,30,100000
3,Sony Dualsense Chroma Indigo,60,130000
2,Sony Dualsense Negro,60,130000
2,Sony Dualsense Chroma Pearl,60,130000
1,Sony Dualsense Camuflajeado,60,130000
3,Sony Dualsense Verde Remix,60,130000
2,Sony Dualsense Azul Rhythm,60,130000
2,Mouse Glorious Model D minus,45,130000
2,Mouse Glorious Model O minus,45,130000
4,Gamesir G7 SE Orange,36,100000
4,Gamesir G7 SE Blue,36,100000
1,Gamesir Kaleid Black,36,100000
1,Gamesir G7 SE Purple,36,100000
2,Set Perfume Montblac,35,120000
3,Microfono Hollyland Lark M2,84,220000
2,Galaxy Tab A11 5g,270,650000
1,Reloj Casio Gshock,100,520000
2,Galaxy A57 5g,365,800000
1,Motorola Edge 60 Fusion,240,520000
1,Notebook HP Victus,785,1600000
1,Notebook Lenovo Loq15,780,1600000
